X,Y,WindField,speed,heading,dx,dy,ratio,style_css,direction
80.1788861342955,12.0921730137955,wind_180,10.6,189.100753500288,-117.39,-311.62,0.85,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-159.358166138658
80.2689964485249,12.1098020711305,wind_181,12.9,185.42395571127983,-96.66,-318.66,0.77,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-163.12573339178
80.3591169980763,12.1274007949679,wind_182,12.8,193.8871485054787,-143.17,-300.65,0.87,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-154.536137117169
80.5394000839159,12.1625030901132,wind_183,2.0,298.8027781082142,-257.31,211.38,0.78,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-50.5969176698179
80.4492535729476,12.1449657411829,wind_184,8.7,173.6053274990766,-27.71,-331.85,0.92,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-175.226784984208
80.6295556177095,12.1800128838886,wind_185,3.2,347.726890517216,-7.44,332.92,0.83,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-1.28021643774612
80.719720651118,12.1974951711728,wind_186,6.6,208.48580473118076,-214.6,-254.63,0.95,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-139.876095371279
80.809901695208,12.2149452824876,wind_187,8.9,189.2477504463892,-117.29,-311.66,0.8,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-159.376693716618
80.9000930709142,12.2323622218373,wind_188,9.8,182.8966388150785,-81.31,-322.92,0.73,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-165.866941491936
80.9902937489204,12.2497519308889,wind_189,8.9,178.3511949744164,-54.83,-328.46,0.8,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-170.522969087502
81.5109118053618,11.5103118398205,wind_19,6.1,310.7812030044751,-208.19,259.9,0.91,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-38.6960839859461
81.0805055745505,12.2671141013445,wind_190,15.4,187.04188048342976,-104.58,-316.15,0.8,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-161.696180002982
